name;unit;threshold;measured;location;summary;wiki
o,p-DDT (STO);mg/l;0.0001;1e-05;Stolpe (STO);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
p,p-DDT (STO);mg/l;0.0001;1e-05;Stolpe (STO);"Dichlorodiphenyltrichloroethane, commonly known as DDT, is a colorless, tasteless, and almost odorless crystalline chemical compound, an organochlorine, originally developed as an insecticide, and ultimately becoming infamous for its environmental impacts. It was first synthesized in 1874. DDT's insecticidal action was discovered by the Swiss chemist Paul Hermann Müller in 1939. DDT was used in the second half of World War II to control malaria and typhus among civilians and troops. Müller was awarded the Nobel Prize in Physiology or Medicine ""for his discovery of the high efficiency of DDT as a contact poison against several arthropods"" in 1948.By October 1945, DDT was available for public sale in the United States. Although it was promoted by government and industry for use as an agricultural and household pesticide, there were also concerns about its use from the beginning. Opposition to DDT was focused by the 1962 publication of Rachel Carson's book Silent Spring. It cataloged environmental impacts that coincided with widespread use of DDT in agriculture in the United States, and it questioned the logic of broadcasting potentially dangerous chemicals into the environment with little prior investigation of their environmental and health effects. The book claimed that DDT and other pesticides had been shown to cause cancer and that their agricultural use was a threat to wildlife, particularly birds. Its publication was a seminal event for the environmental movement and resulted in a large public outcry that eventually led, in 1972, to a ban on DDT's agricultural use in the United States. A worldwide ban on agricultural use was formalized under the Stockholm Convention on Persistent Organic Pollutants, but its limited and still-controversial use in disease vector control continues, because of its effectiveness in reducing malarial infections, balanced by environmental and other health concerns.
Along with the passage of the Endangered Species Act, the United States ban on DDT is a major factor in the comeback of the bald eagle (the national bird of the United States) and the peregrine falcon from near-extinction in the contiguous United States.";https://en.wikipedia.org/wiki/DDT
Aldrin (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);"Aldrin is an organochlorine insecticide that was widely used until the 1990s, when it was banned in most countries. It is a colourless solid. Before the ban, it was heavily used as a pesticide to treat seed and soil.  Aldrin and related ""cyclodiene"" pesticides (a term for pesticides derived from Hexachlorocyclopentadiene) became notorious as persistent organic pollutants.";https://en.wikipedia.org/wiki/Aldrin
Isodrin (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
Mirex (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
Dieldrin (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);;
Endrin (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
Heptachlor (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);;
cis-Heptachlorepoxid (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);;
trans-Heptachlorepoxid (STO);mg/l;2.9999999999999997e-05;5e-06;Stolpe (STO);;
alpha-Endosulfan (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
beta-Endosulfan (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
alpha-Chlordan (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
gamma-Chlordan (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
oxi-Chlordan (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
Methoxychlor (STO);mg/l;0.0001;1e-05;Stolpe (STO);;
2,6-Dichlorbenzamid (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Atrazin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Chloridazon (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);"Chloridazon-catechol dioxygenase (EC 1.13.11.36) is an enzyme that catalyzes the chemical reaction

5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone + O2 
  
    
      
        ⇌
      
    
    {\displaystyle \rightleftharpoons }
   5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinoneThus, the two substrates of this enzyme are 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone and oxygen, whereas its product is 5-amino-4-chloro-2-(2-hydroxymuconoyl)-3(2H)-pyridazinone.

This enzyme belongs to the family of oxidoreductases, specifically those acting on single donors with O2 as oxidant and incorporation of two atoms of oxygen into the substrate (oxygenases). The oxygen incorporated need not be derived from O2.  The systematic name of this enzyme class is 5-amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone 1,2-oxidoreductase (decyclizing). It employs one cofactor, iron.";https://de.wikipedia.org/wiki/Chloridazon
Chlortoluron (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Desethylatrazin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Desethylterbuthylazin (STO);mg/l;0.0001;3e-05;Stolpe (STO);;
Desisopropylatrazin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Diuron (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Ethofumesat (STO);mg/l;0.0001;4e-05;Stolpe (STO);;
Isoproturon (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Metamitron (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Metazachlor (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Methyldesphenylchloridazon (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Metolachlor (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Metribuzin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Simazin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Terbuthylazin (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Mecoprop (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
MCPA (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
Dichlorprop (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
2,4-D (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
p,p-DDA (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
o,p-DDA (STO);mg/l;0.0001;2.5e-05;Stolpe (STO);;
Bentazon (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
Glyphosat (STO);mg/l;0.0001;2e-05;Stolpe (STO);;
Quecksilber (STO);mg/l;0.001;0.0001;Stolpe (STO);"Mercury is a chemical element with symbol Hg and atomic number 80. It is commonly known as quicksilver and was formerly named hydrargyrum ( hy-DRAR-jər-əm). A heavy, silvery d-block element, mercury is the only metallic element that is liquid at standard conditions for temperature and pressure; the only other element that is liquid under these conditions is bromine, though metals such as caesium, gallium, and rubidium melt just above room temperature.
Mercury occurs in deposits throughout the world mostly as cinnabar (mercuric sulfide). The red pigment vermilion is obtained by grinding natural cinnabar or synthetic mercuric sulfide.
Mercury is used in thermometers, barometers, manometers, sphygmomanometers, float valves, mercury switches, mercury relays, fluorescent lamps and other devices, though concerns about the element's toxicity have led to mercury thermometers and sphygmomanometers being largely phased out in clinical environments in favor of alternatives such as alcohol- or galinstan-filled glass thermometers and thermistor- or infrared-based electronic instruments.  Likewise, mechanical pressure gauges and electronic strain gauge sensors have replaced mercury sphygmomanometers.
Mercury remains in use in scientific research applications and in amalgam for dental restoration in some locales. It is also used in fluorescent lighting. Electricity passed through mercury vapor in a fluorescent lamp produces short-wave ultraviolet light, which then causes the phosphor in the tube to fluoresce, making visible light.
Mercury poisoning can result from exposure to water-soluble forms of mercury (such as mercuric chloride or methylmercury), by inhalation of mercury vapor, or by ingesting any form of mercury.";https://en.wikipedia.org/wiki/Mercury_(element)
Selen (STO);mg/l;0.01;0.001;Stolpe (STO);;
Uran (STO);mg/l;0.01;0.00014;Stolpe (STO);;
Antimon (STO);mg/l;0.005;0.0005;Stolpe (STO);;
Arsen (STO);mg/l;0.01;0.00041;Stolpe (STO);"Arsenic is a chemical element with symbol As and atomic number 33. Arsenic occurs in many minerals, usually in combination with sulfur and metals, but also as a pure elemental crystal. Arsenic is a metalloid. It has various allotropes, but only the gray form, which has a metallic appearance, is important to industry.
The primary use of arsenic is in alloys of lead (for example, in car batteries and ammunition). Arsenic is a common n-type dopant in semiconductor electronic devices, and the optoelectronic compound gallium arsenide is the second most commonly used semiconductor after doped silicon. Arsenic and its compounds, especially the trioxide, are used in the production of pesticides, treated wood products, herbicides, and insecticides. These applications are declining due to the toxicity of arsenic and its compounds.A few species of bacteria are able to use arsenic compounds as respiratory metabolites. Trace quantities of arsenic are an essential dietary element in rats, hamsters, goats, chickens, and presumably other species. A role in human metabolism is not known. However, arsenic poisoning occurs in multicellular life if quantities are larger than needed. Arsenic contamination of groundwater is a problem that affects millions of people across the world.
The United States' Environmental Protection Agency states that all forms of arsenic are a serious risk to human health. The United States' Agency for Toxic Substances and Disease Registry ranked arsenic as number 1 in its 2001 Priority List of Hazardous Substances at Superfund sites. Arsenic is classified as a Group-A carcinogen.";https://en.wikipedia.org/wiki/Arsenic
Benzo[a]pyren (STO);mg/l;1e-05;5e-06;Stolpe (STO);Benzo[a]pyrene is a polycyclic aromatic hydrocarbon and the result of incomplete combustion of organic matter at temperatures between 300 °C (572 °F) and 600 °C (1,112 °F). The ubiquitous compound can be found in coal tar, tobacco smoke and many foods, especially grilled meats. The substance with the formula C20H12 is one of the benzopyrenes, formed by a benzene ring fused to pyrene. Its diol epoxide metabolites (more commonly known as BPDE) react and bind to DNA, resulting in mutations and eventually cancer. It is listed as a Group 1 carcinogen by the IARC.  In the 18th century a scrotal cancer of chimney sweepers, the chimney sweeps' carcinoma, was already known to be connected to soot.;https://en.wikipedia.org/wiki/Benzo(a)pyrene
Blei (STO);mg/l;0.01;0.0005;Stolpe (STO);"Lead is a chemical element with symbol Pb (from the Latin plumbum) and atomic number 82. It is a heavy metal that is denser than most common materials. Lead is soft and malleable, and also has a relatively low melting point. When freshly cut, lead is silvery with a hint of blue; it tarnishes to a dull gray color when exposed to air. Lead has the highest atomic number of any stable element and three of its isotopes each conclude a major decay chain of heavier elements.
Lead is a relatively unreactive post-transition metal. Its weak metallic character is illustrated by its amphoteric nature; lead and lead oxides react with acids and bases, and it tends to form covalent bonds. Compounds of lead are usually found in the +2 oxidation state rather than the +4 state common with lighter members of the carbon group. Exceptions are mostly limited to organolead compounds. Like the lighter members of the group, lead tends to bond with itself; it can form chains, rings, and polyhedral structures.
Lead is easily extracted from its ores; prehistoric people in Western Asia knew of it. Galena, a principal ore of lead, often bears silver, interest in which helped initiate widespread extraction and use of lead in ancient Rome. Lead production declined after the fall of Rome and did not reach comparable levels until the Industrial Revolution. In 2014, the annual global production of lead was about ten million tonnes, over half of which was from recycling. Lead's high density, low melting point, ductility and relative inertness to oxidation make it useful. These properties, combined with its relative abundance and low cost, resulted in its extensive use in construction, plumbing, batteries, bullets and shot, weights, solders, pewters, fusible alloys, white paints, leaded gasoline, and radiation shielding.
In the late 19th century, lead's toxicity was recognized, and its use has since been phased out of many applications. Lead is a toxin that accumulates in soft tissues and bones, it acts as a neurotoxin damaging the nervous system and interfering with the function of biological enzymes. It is particularly problematic in children: even if blood levels are promptly normalized with treatment, neurological disorders, such as brain damage and behavioral problems, may result.";https://en.wikipedia.org/wiki/Lead
Cadmium (STO);mg/l;0.003;0.0005;Stolpe (STO);;
Kupfer (STO);mg/l;2.0;0.005;Stolpe (STO);;
Nickel (STO);mg/l;0.02;0.003;Stolpe (STO);;
Nitrit (STO);mg/l;0.1;0.03;Stolpe (STO);;
Trihalogenmethane (STO);mg/l;0.01;0.0005;Stolpe (STO);;
Vinylchlorid (STO);mg/l;0.0005;0.0001;Stolpe (STO);;
Aluminium (STO);mg/l;0.2;0.01;Stolpe (STO);"Aluminium or aluminum is a chemical element with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic and ductile metal in the boron group. By mass, aluminium makes up about 8% of the  Earth's crust; it is the third most abundant element after oxygen and silicon and the most abundant metal in the crust, though it is less common in the mantle below. The chief ore of aluminium is bauxite. Aluminium metal is so chemically reactive that native specimens are rare and limited to extreme reducing environments. Instead, it is found combined in over 270 different minerals.Aluminium is remarkable for its low density and its ability to resist corrosion through the phenomenon of passivation. Aluminium and its alloys are vital to the aerospace industry and important in transportation and building industries, such as building facades and window frames. The oxides and sulfates are the most useful compounds of aluminium.Despite its prevalence in the environment, no known form of life uses aluminium salts metabolically, but aluminium is well tolerated by plants and animals. Because of these salts' abundance, the potential for a biological role for them is of continuing interest, and studies continue.";https://en.wikipedia.org/wiki/Aluminium
Färbung (STO);1/m;0.5;0.41;Stolpe (STO);;
Natrium (STO);mg/l;200.0;29.0;Stolpe (STO);;
Sulfat (STO);mg/l;250.0;66.0;Stolpe (STO);;
freie Kohlensäure (STO);mg/l;;14.5;Stolpe (STO);;
Kieselsäure (SiO2) (STO);mg/l;;16.0;Stolpe (STO);;
SAK 254nm (STO);mg/l;;13.3;Stolpe (STO);;
1,1,1-Trichlorethan (STO);µg/l;3.0;0.5;Stolpe (STO);;
Toluen (STO);µg/l;0.3;0.5;Stolpe (STO);;
1,2,3-Trichlorbenzen (STO);µg/l;0.1;0.1;Stolpe (STO);;
1,2,4-Trichlorbenzen (STO);µg/l;0.1;0.1;Stolpe (STO);;
1,3,5-Trichlorbenzen (STO);µg/l;0.1;0.1;Stolpe (STO);;
1,2,3,5-Tetrachlorbenzen (STO);µg/l;0.1;0.01;Stolpe (STO);;
1,2,3,4-Tetrachlorbenzen (STO);µg/l;0.1;0.01;Stolpe (STO);;
Pentachlorbenzen (STO);µg/l;0.1;0.01;Stolpe (STO);;
Hexachlorbenzen (STO);µg/l;0.1;0.01;Stolpe (STO);;
Pentachloranisol (STO);µg/l;0.1;0.01;Stolpe (STO);;
EDTA (STO);µg/l;10.0;2.0;Stolpe (STO);;
Benzotriazol (STO);µg/l;3.0;0.05;Stolpe (STO);;
Tolyltriazole (STO);µg/l;3.0;0.025;Stolpe (STO);;
Ammonium (STO);mg/l;0.5;0.05;Stolpe (STO);;
Eisen (STO);mg/l;0.2;0.03;Stolpe (STO);;
Mangan (STO);mg/l;0.05;0.005;Stolpe (STO);;
Trübung (STO);NTU;1.0;0.2;Stolpe (STO);;
Tris-(chlorisopropyl)phosphat (STO);µg/l;1.0;0.1;Stolpe (STO);;
MTBE (STO);µg/l;1.0;0.04;Stolpe (STO);;
PFOA (STO);µg/l;0.3;0.01;Stolpe (STO);;
PFOS (STO);µg/l;0.3;0.05;Stolpe (STO);;
Atenolol (STO);µg/l;0.1;0.03;Stolpe (STO);;
Diclofenac (STO);µg/l;0.3;0.025;Stolpe (STO);;
Phenazon* (STO);µg/l;0.3;0.14;Stolpe (STO);;
Propyphenazon* (STO);µg/l;0.3;0.04;Stolpe (STO);;
Carbamazepin (STO);µg/l;0.3;0.025;Stolpe (STO);;
AMDOPH (STO);µg/l;3.0;0.3;Stolpe (STO);;
AMPH (STO);µg/l;3.0;0.08;Stolpe (STO);;
DP (STO);µg/l;3.0;0.91;Stolpe (STO);;
Primidon (STO);µg/l;3.0;0.025;Stolpe (STO);;
Phenobarbital (STO);µg/l;0.3;0.03;Stolpe (STO);;
Sulfamethoxazol (STO);µg/l;0.1;0.02;Stolpe (STO);;
Metformin (STO);µg/l;1.0;0.02;Stolpe (STO);;
Gabapentin (STO);µg/l;1.0;0.05;Stolpe (STO);;
Valsartansäure (STO);µg/l;1.5;0.08;Stolpe (STO);;
Valsartan (STO);µg/l;0.3;0.03;Stolpe (STO);;
Iopamidol (STO);µg/l;1.0;0.02;Stolpe (STO);;
Iomeprol (STO);µg/l;1.0;0.02;Stolpe (STO);;
Iopromid (STO);µg/l;1.0;0.02;Stolpe (STO);;
Amidotrizoesäure (STO);µg/l;1.0;0.02;Stolpe (STO);;
AMPA (STO);mg/l;;0.0001;Stolpe (STO);;
Tetrachlorethen (STO);mg/l;;0.0001;Stolpe (STO);;
Trichlorethen (STO);mg/l;;0.0001;Stolpe (STO);;
Benzo[b]fluoranthen (STO);mg/l;;1e-05;Stolpe (STO);;
Benzo[k]fluoranthen (STO);mg/l;;1e-05;Stolpe (STO);;
Benzo[g,h,i]perylen (STO);mg/l;;1e-05;Stolpe (STO);;
Indeno[1,2,3-c,d]pyren (STO);mg/l;;1e-05;Stolpe (STO);;
Trichlormethan (STO);mg/l;;0.0005;Stolpe (STO);;
Bromdichlormethan (STO);mg/l;;0.0005;Stolpe (STO);;
Dibromchlormethan (STO);mg/l;;0.0005;Stolpe (STO);;
Tribrommethan (STO);mg/l;;0.0005;Stolpe (STO);;
TOC (STO);mg/l;;5.1;Stolpe (STO);;
Temperatur (STO);°C;;11.4;Stolpe (STO);;
Sauerstoff (STO);mg/l;;10.0;Stolpe (STO);;
Sättigungs-pH (STO);-;;7.4;Stolpe (STO);;
Karbonathärte (STO);°dH;;11.0;Stolpe (STO);;
Gesamthärte (STO);°dH;;14.7;Stolpe (STO);;
Calcium (STO);mg/l;;89.0;Stolpe (STO);;
Magnesium (STO);mg/l;;9.7;Stolpe (STO);;
Kalium (STO);mg/l;;3.7;Stolpe (STO);;
AOX (STO);µg/l;;10.0;Stolpe (STO);;
Zink (STO);µg/l;;10.0;Stolpe (STO);;
Dichlormethan (STO);µg/l;;0.5;Stolpe (STO);;
Tetrachlormethan (STO);µg/l;;0.5;Stolpe (STO);;
trans-Dichlorethen (STO);µg/l;;0.5;Stolpe (STO);;
cis-Dichlorethen (STO);µg/l;;0.2;Stolpe (STO);;
Hexachlorbutadien (STO);µg/l;;0.01;Stolpe (STO);;
1,2-Dichlorpropan (STO);µg/l;;0.1;Stolpe (STO);;
Ethylbenzen (STO);µg/l;;0.5;Stolpe (STO);;
m,p-Xylen (STO);µg/l;;0.5;Stolpe (STO);;
o-Xylen (STO);µg/l;;0.5;Stolpe (STO);;
Cumen (STO);µg/l;;0.5;Stolpe (STO);;
Chlorbenzen (STO);µg/l;;0.1;Stolpe (STO);;
1,3-Dichlorbenzen (STO);µg/l;;0.5;Stolpe (STO);;
1,4-Dichlorbenzen (STO);µg/l;;0.5;Stolpe (STO);;
1,2-Dichlorbenzen (STO);µg/l;;0.5;Stolpe (STO);;
NTA (STO);µg/l;;2.0;Stolpe (STO);;
Phenylsulfonylsarcosin (STO);µg/l;;0.02;Stolpe (STO);;
Tributylphosphat (STO);µg/l;;0.1;Stolpe (STO);;
Triphenylphosphat (STO);µg/l;;0.1;Stolpe (STO);;
Tris-(2-chlorethyl)phosphat (STO);µg/l;;0.1;Stolpe (STO);;
ETBE (STO);µg/l;;0.03;Stolpe (STO);;
TBA (STO);µg/l;;1.0;Stolpe (STO);;
Clofibrinsäure (STO);µg/l;;0.025;Stolpe (STO);;
Bezafibrat (STO);µg/l;;0.01;Stolpe (STO);;
Carbamazepin-10,11-diol (STO);µg/l;;0.02;Stolpe (STO);;
Acridin-9-carbonsäure (STO);µg/l;;0.05;Stolpe (STO);;
Dimethylaminophenazon (STO);µg/l;;0.02;Stolpe (STO);;
AAA (STO);µg/l;;0.02;Stolpe (STO);;
N-Acetyl-sulfamethoxazol (STO);µg/l;;0.02;Stolpe (STO);;
FAA (STO);µg/l;;0.02;Stolpe (STO);;
Koffein (STO);µg/l;;0.1;Stolpe (STO);;
Metoprolol (STO);µg/l;;0.025;Stolpe (STO);;
Phenylethylmalonamid (STO);µg/l;;0.03;Stolpe (STO);;
Pregabalin (STO);µg/l;;0.01;Stolpe (STO);;
Oxipurinol (STO);µg/l;;0.05;Stolpe (STO);;
Candesartan (STO);µg/l;;0.01;Stolpe (STO);;
Olmesartan (STO);µg/l;;0.01;Stolpe (STO);;
Irbesartan (STO);µg/l;;0.02;Stolpe (STO);;
Losartan (STO);µg/l;;0.03;Stolpe (STO);;
DEET (STO);µg/l;;0.03;Stolpe (STO);;
ph-wert (STO);-;8.5;7.5;Stolpe (STO);;
Chlorid (STO);mg/l;250.0;43.0;Stolpe (STO);"The chloride ion  is the anion (negatively charged ion) Cl−. It is formed when the element chlorine (a halogen) gains an electron or when a compound such as hydrogen chloride is dissolved in water or other polar solvents. Chloride salts such as sodium chloride are often very soluble in water. It is an essential electrolyte located in all body fluids responsible for maintaining acid/base balance, transmitting nerve impulses and regulating fluid in and out of cells. Less frequently, the word chloride may also form part of the ""common"" name of chemical compounds in which one or more chlorine atoms are covalently bonded.  For example, methyl chloride, with the standard name chloromethane (see IUPAC books) is an organic compound with a covalent C−Cl bond in which the chlorine is not an anion.";https://en.wikipedia.org/wiki/Chloride
